"(47.54270086, -122.38757575)"
"(47.67883177, -122.3754301)"
"(47.66919994, -122.37263602)"
"(47.67287564, -122.37795815)"
"(47.63310462, -122.32302326)"
"(47.56658387, -122.29657061)"
"(47.703529, -122.27826813)"
"(47.71129031, -122.30580824)"
"(47.66165022, -122.34838766)"
"(47.65482313, -122.38623986)"
"(47.51140495, -122.24359318)"
"(47.66624647, -122.36789923)"
"(47.66408973, -122.35378305)"
"(47.66519134, -122.32858953)"
"(47.55360427, -122.28208445)"
"(47.65483374, -122.38628253)"
"(47.58397925, -122.37517913)"
"(47.65140205, -122.39093658)"
"(47.57161504, -122.29347773)"
"(47.65305359, -122.3526168)"
"(47.61988603, -122.30579846)"
"(47.69584334, -122.36174076)"
"(47.54951216, -122.26228852)"
"(47.57672751, -122.40844806)"
"(47.63848962, -122.34264419)"
"(47.53178739, -122.37644938)"
"(47.5027844, -122.26925644)"
"(47.61782102, -122.31580511)"
"(47.5485505, -122.33652814)"
"(47.62313525, -122.35971778)"
"(47.58174381, -122.31523831)"
"(47.65443675, -122.3276276)"
"(47.55637148, -122.2883163)"
"(47.64307372, -122.38507342)"
"(47.6576405, -122.34805403)"
"(47.54561126, -122.33013782)"
"(47.51918444, -122.31958456)"
"(47.65842251, -122.39039155)"
"(47.55634875, -122.28880007)"
"(47.6154329, -122.34652095)"
"(47.67551513, -122.38555202)"
"(47.61959933, -122.35766888)"
"(47.64322982, -122.38508834)"
"(47.58618184, -122.30060683)"
"(47.61103576, -122.30451887)"
"(47.61206347, -122.31119157)"
"(47.64618102, -122.38291035)"
"(47.71582458, -122.28500599)"
"(47.5711318, -122.28919309)"
"(47.57102685, -122.28967623)"
"(47.70998802, -122.3174196)"
"(47.67282695, -122.37837337)"
"(47.55125545, -122.32396424)"
"(47.64723148, -122.35826756)"
"(47.58643104, -122.3013459)"
"(47.62287309, -122.34146324)"
"(47.6826145, -122.34735443)"
"(47.66254948, -122.29499488)"
"(47.57652279, -122.30916333)"
"(47.6141635, -122.33180671)"
"(47.65195037, -122.34908047)"
"(47.63116139, -122.34194796)"
"(47.71071076, -122.33351766)"
"(47.61570566, -122.3314754)"
"(47.6141635, -122.33180671)"
"(47.61211121, -122.31580199)"
"(47.68644125, -122.38906509)"
"(47.61503782, -122.33234036)"
"(47.67576342, -122.38660235)"
"(47.71780066, -122.37364413)"
"(47.54025657, -122.28327332)"
"(47.5589371, -122.36322901)"
"(47.56825783, -122.38971669)"
"(47.65621774, -122.35043068)"
"(47.65611183, -122.35039114)"
"(47.65209566, -122.34907659)"
"(47.58729776, -122.29935716)"
"(47.58794707, -122.39540778)"
"(47.62569697, -122.32486349)"
"(47.62951836, -122.37476567)"
"(47.6257543, -122.32509165)"
"(47.64145506, -122.41573084)"
"(47.63386687, -122.34207451)"
"(47.58605747, -122.30137305)"
"(47.5335102, -122.3473748)"
"(47.54351607, -122.33458589)"
