"(47.6182617, -122.3577413)"
"(47.5440673, -122.282435599947)"
"(47.5342216, -122.3500717)"
"(47.719806, -122.297703)"
"(47.72465145, -122.329384310191)"
"(47.69038, -122.357391)"
"(47.6870482, -122.3554887)"
"(47.7230197, -122.3562457)"
"(47.683737, -122.3555197)"
"(47.684927, -122.355308)"
"(47.6871410408163, -122.355179163265)"
"(47.6902621, -122.3549016)"
"(47.6934167, -122.356943891716)"
"(47.69188, -122.355239)"
"(47.690174, -122.354958)"
"(47.705199, -122.3509853)"
"(47.68998, -122.354958)"
"(47.687136, -122.355306)"
"(47.6983998, -122.3470479)"
"(47.69077345, -122.354979091697)"
"(47.690653, -122.357728)"
"(47.6916342, -122.3557113)"
"(47.685528, -122.355046)"
"(47.689323, -122.355300)"
"(47.6867128, -122.3636508)"
"(47.698452, -122.346947)"

"(47.6908412, -122.356251325)"
"(47.691631, -122.355713)"
"(47.6841406, -122.3555094)"
"(47.698257, -122.355942)"
"(47.691212, -122.354279)"
"(47.6903817, -122.3573889)"
"(47.6684204, -122.350826003069)"
"(47.6814905, -122.3267044)"
"(47.682538, -122.340830)"
"(47.6669041, -122.3127673)"
"(47.6850306, -122.344258)"
"(47.5515231, -122.3186879)"
"(47.5518058, -122.3246163)"
"(47.548885, -122.317596)"
"(47.5504345, -122.3182596)"
"(47.5514664, -122.3283134)"
"(47.5490859, -122.3169537)"
"(47.5514664, -122.3283134)"
"(47.5505915102041, -122.318393510204)"
"(47.5514664, -122.3283134)"
"(47.5488654, -122.3174654)"
"(47.5480284, -122.3164558)"
"(47.54413735, -122.31911307466)"
"(47.5487509, -122.3170704)"
"(47.550962, -122.318612)"
"(47.6500311, -122.3484385)"
"(47.6506373, -122.3496713)"
"(47.6561433, -122.3426065)"
"(47.6524012, -122.3563132)"
"(47.652355, -122.3538429)"
"(47.6591931, -122.3498604)"

"(47.651470, -122.353600)"
"(47.6494509, -122.3481059)"
"(47.6052251, -122.3262281)"
"(47.6090096, -122.3299408)"
"(47.610901, -122.3254749)"
"(47.607943, -122.326933)"
"(47.6100596, -122.3163837)"
"(47.60502955, -122.317157300784)"
"(47.6106553, -122.3171103)"
"(47.61205715, -122.319148077671)"
"(47.6117204, -122.313065805667)"
"(47.610928, -122.329353)"
"(47.60718365, -122.324044271516)"
"(47.52195755, -122.387874637492)"
"(47.618798, -122.3293302)"
"(47.641225, -122.325897)"
"(47.6081315, -122.3390359)"
"(47.6070478, -122.3364073)"
"(47.6127204, -122.3378104)"
"(47.6040236, -122.3309956)"
"(47.6091917, -122.3345412)"
"(47.6093109, -122.3394956)"
"(47.6128253, -122.3422256)"
"(47.60812795, -122.33697482797)"
"(47.6086439, -122.337685)"
"(47.6091749, -122.3339671)"
"(47.6108495, -122.3323316)"
"(47.6071955, -122.3382555)"
"(47.6132437, -122.331356006126)"
"(47.6098589, -122.3417416)"
"(47.6060923, -122.3395432)"
"(47.6083293, -122.3408128)"
"(47.6066246, -122.3369157)"
"(47.60501625, -122.32957289044)"
"(47.6065659, -122.3374584)"
"(47.6048267, -122.336745)"
"(47.6080964, -122.3388114)"
"(47.60501625, -122.3295729)"
"(47.6163466, -122.3538499)"
"(47.6091917, -122.3345412)"
"(47.5994156, -122.3305147)"
"(47.6688694, -122.3126674)"
"(47.604548, -122.329935)"
"(47.605034, -122.334244)"
"(47.605034, -122.334244)"
"(47.608495, -122.339743)"
"(47.6017992, -122.3366083)"
"(47.6069251, -122.3372059)"
"(47.6038849, -122.3300938)"
"(47.69657535, -122.39338205)"
"(47.69725335, -122.373621116279)"
"(47.6973909, -122.3736435)"
"(47.5559849, -122.2840929)"
"(47.559563, -122.286736)"
"(47.5573208, -122.2844836)"
"(47.556924, -122.2843057)"
"(47.558197, -122.2850094)"
"(47.55990535, -122.28696008085)"
"(47.598602, -122.324135)"
"(47.596252, -122.315567)"
"(47.594554, -122.3095312)"
"(47.6002536, -122.2949954)"
"(47.6044443, -122.3074673)"
"(47.595163, -122.309673)"
"(47.6081565, -122.3018854)"
"(47.6034343, -122.3115241)"
"(47.60129695, -122.309825143135)"
"(47.599537, -122.331177)"
"(47.662434, -122.330474397751)"
"(47.601907, -122.3017753)"
"(47.5951899, -122.3099181)"

"(47.60284, -122.314587396867)"
"(47.613136, -122.304382)"
"(47.6131012, -122.3086934)"
"(47.6132215, -122.3051662)"
"(47.6129184, -122.316028)"
"(47.6131504, -122.3051798)"
